TSTAMP,DEVICE_ID,Tank3PMovAvg,TempF,Forecast_1P,Forecast_6P,Forecast_12P,Forecast_36P,Forecast_72P,Forecast_144P,Forecast_288P
2020-03-20 13:08:14.393,1,2.799999999999913,24.3,3.0083333333332467,,,,,,
2020-03-20 13:13:19.393,1,2.6999999999999127,24.0,2.799999999999913,,,,,,
2020-03-20 13:18:23.393,1,2.6999999999999127,23.6,2.6999999999999127,,,,,,
2020-03-20 13:23:27.397,1,2.6999999999999127,23.4,2.6999999999999127,,,,,,
2020-03-20 13:28:56.433,1,2.799999999999913,23.7,2.6999999999999127,,,,,,
2020-03-20 13:34:00.433,1,2.899999999999913,24.6,2.799999999999913,3.049999999999914,,,,,
2020-03-20 13:39:04.433,1,2.8333333333332464,25.2,2.899999999999913,2.7999999999999137,,,,,
2020-03-20 13:44:08.437,1,3.033333333333246,24.5,2.8333333333332464,2.6999999999999127,,,,,
2020-03-20 13:49:37.473,1,3.081355878654524,24.3,3.033333333333246,2.6999999999999127,,,,,
2020-03-20 13:54:41.473,1,3.34802254532119,24.0,3.084133656432302,2.6999999999999127,,,,,
2020-03-20 13:59:45.473,1,3.0480225453211895,23.6,3.359133656432301,2.799999999999913,,,,,
2020-03-20 14:04:49.477,1,2.7999999999999123,23.6,3.0655233265223645,2.899999999999913,3.099999999999915,,,,
2020-03-20 14:10:19.513,1,2.6999999999999127,24.4,2.8175007812010873,2.8333333333332464,2.7999999999999146,,,,
2020-03-20 14:15:23.513,1,2.799999999999913,25.1,2.7175007812010876,3.033333333333246,2.6999999999999127,,,,
2020-03-20 14:20:27.513,1,2.799999999999913,24.0,2.8175007812010877,3.098022545321191,2.6999999999999127,,,,
2020-03-20 14:25:31.517,1,2.799999999999913,23.6,2.811111111111024,3.4146892119878567,2.6999999999999127,,,,
2020-03-20 14:31:17.553,1,2.739612049528238,24.1,2.8027777777776905,3.1530272325282396,2.799999999999913,,,,
2020-03-20 14:36:21.553,1,2.7261719977047107,24.8,2.739612049528238,2.9050046872069624,2.899999999999913,,,,
2020-03-20 14:41:26.553,1,2.5595053310380447,24.6,2.7261719977047107,2.8050046872069627,2.8333333333332464,,,,
2020-03-20 14:46:30.557,1,2.71989328150972,25.2,2.5595053310380447,2.905004687206963,3.033333333333246,,,,
2020-03-20 14:51:58.593,1,2.9333333333332474,24.6,2.71989328150972,2.866666666666579,3.1146892119878578,,,,
2020-03-20 14:57:02.593,1,3.0999999999999135,24.8,2.9333333333332474,2.8166666666665794,3.481355878654523,,,,
2020-03-20 15:02:06.593,1,2.8333333333332473,24.4,3.0999999999999135,2.739612049528238,3.2580319197352896,,,,
2020-03-20 15:07:10.597,1,2.7413706559671467,24.6,2.8333333333332473,2.7261719977047107,3.0100093744140124,,,,
2020-03-20 15:12:44.633,1,2.9413706559671464,24.5,2.7413706559671467,2.5595053310380447,2.9100093744140128,,,,
2020-03-20 15:17:48.633,1,3.108037322633813,23.9,2.9413706559671464,2.71989328150972,3.010009374414013,,,,
2020-03-20 15:22:52.633,1,3.0500824296719684,24.0,3.108037322633813,2.9333333333332474,2.933333333333246,,,,
2020-03-20 15:27:57.637,1,2.750082429671968,24.3,3.0500824296719684,3.0999999999999135,2.8333333333332464,,,,
